name,mlModelsPrediction,KNeighborsRegressor,LinearRegression,DecisionTreeRegressor,RandomForestRegressor
Colby Jones,0.8257389018146482,0.8276028531999999,0.9705677261785922,0.779690195,0.7250948328800003
Keyontae Johnson,0.6839293748755764,0.8373806504000001,0.4238615234823049,0.738217312,0.7362580136200004
Ben Sheppard,0.9370489102206472,0.9524593724000001,0.6792719741425887,1.065,1.0514642943399999
Isaiah Wong,0.8465091060941797,0.6755264866,1.091409002686719,0.849938351,0.76916258409
Jaime Jaquez Jr.,0.6655233496076773,0.7127679092,0.6521574881107098,0.635662646,0.6615053551199999
Marcus Sasser,1.012307494712395,1.0279269956000001,0.8401558890395796,1.144744513,1.0364025812099995
Jalen Wilson,0.8679606908464601,0.6276871226,1.0172504767858401,1.101725919,0.7251792450000005
Seth Lundy,0.9833616989234779,0.989387472,0.8062905282339119,1.03995673,1.0978120654599994
Toumani Camara,0.665712287775105,0.7244541426000001,0.4452835164304201,0.76249918,0.7306123120700002
Trayce Jackson-Davis,0.1599392349122125,0.092468863,-0.2953081483211498,0.703275764,0.1393204609699999
Jalen Pickett,0.9292355721409331,0.753194946,1.0714486527137321,1.121213628,0.7710850618500003
Jalen Slawson,0.7606436282811314,0.6007736282,0.8698261102245247,0.76249918,0.8094755947000007
Jordan Miller,0.7215090490024043,0.8010179629999999,0.7306226898496171,0.654152123,0.7002434201600003
Kobe Brown,0.8409770873083073,0.4840183401999999,1.2565739555032291,0.868327127,0.7549889265300003
Julian Strawther,1.1080714746759748,1.0104407512,1.0859154622938987,1.319822715,1.0161069702100003
Mouhamed Gueye,0.3826709964051264,0.7237061850000001,-0.00027525643949444234,0.370346594,0.4369064630600002
Olivier-Maxence Prosper,0.8032794511299033,0.7866216116,0.6997626904796126,0.957543524,0.7691899784400005
Andre Jackson Jr.,0.6871323629340316,0.6885666264000001,0.4995917109061257,0.957543524,0.6028275904300006
Hunter Tyson,0.911765752280423,1.0081389206,1.0163439894116915,0.694691586,0.9278885131100002
Kris Murray,0.6833179874534734,0.7167434048000001,0.6539857258238927,0.547389441,0.8151533781900008
Amari Bailey,0.6503211077780956,0.6745635198000001,0.662331649232383,0.524621864,0.7397673980799996
Anthony Black,0.6663225793478643,0.7587841818,0.626266378371457,0.647277375,0.6329623822200002
Brandin Podziemski,0.9162172885614948,0.8779836101999999,0.9671189215159788,0.894292122,0.9254745005300004
Brandon Miller,1.0738819266633004,1.0417239516,1.008489681143202,1.236450565,1.0088635089099995
Brice Sensabaugh,0.9860885832938666,0.9584515008000001,0.9914729059454662,1.064148721,0.93028120543
Cam Whitmore,0.7515336417035545,0.764861455,0.6785665791142181,0.775926865,0.7867796677000001
Cason Wallace,0.8533158653284008,0.8419953052,0.8520330668036031,0.906352691,0.8128823983099999
Chris Livingston,0.7628169830460352,0.7432750055999999,0.60175028064414,0.988599565,0.7176430809400006
Dariq Whitehead,0.9790485547397059,0.7829129498,0.9558591070588232,1.088944443,1.0884777191
Dereck Lively II,0.1908741571341067,0.17070066960000002,0.13123380068642654,0.105303846,0.35625831225000015
Emoni Bates,0.912109283014704,0.8461113294,0.9762368747088164,0.887833487,0.9382554409499997
Gradey Dick,1.0221860682443478,0.925121124,1.0209189741873903,1.144744513,0.9979596617900005
Gregory Jackson,0.726291924158315,0.8461113294,0.5888019083332601,0.724486025,0.7457684339
Jalen Hood-Schifino,0.7829764807736193,0.9378988776,0.7872356527544768,0.692954039,0.7138173537400003
Jarace Walker,0.697710717693232,0.7308640902000001,0.5586132683329278,0.821084161,0.6802813512400001
Jaylen Clark,0.6508271542419797,0.7224913506,0.5626978007979185,0.67670119,0.6414182755700003
Jett Howard,0.963682412026821,0.8726755716,1.081794561307284,0.887833487,1.0124260282000002
Jordan Hawkins,1.0931818772506952,0.9866156942000002,1.0533449219127813,1.236450565,1.0963163278899994
Jordan Walsh,0.6746323980271705,0.6646270316,0.7074840478986808,0.654152123,0.672266389610001
Julian Phillips,0.7512200653062254,0.7172883014,0.6331083662249016,0.988599565,0.6658840286000004
Keyonte George,1.012493850659093,0.9997109586,0.9136204926863717,1.144744513,0.99189943835
Kobe Bufkin,0.8326393966332105,0.9486858596000001,0.9104285999728418,0.692954039,0.7784890879600002
Maxwell Lewis,0.733659936980958,0.7178756216,0.7381169639538319,0.67,0.8086471623700002
Noah Clowney,0.7426005252548785,0.7333796878000001,0.786828710469514,0.654152123,0.7960415797500002
Taylor Hendricks,0.9042125664801807,0.8883539016,0.8000859001507223,1.0797985,0.8486119641700004
